account,post,follower,follow,open_account,official_account
https://instagram.com/kimzayoung,743,178676,441,1,0
https://instagram.com/mozzi.00,1002,121208,394,1,0
https://instagram.com/minami.riho,227,101301,149,1,0
https://instagram.com/arjenia,4680,169583,2,1,0
https://instagram.com/l.h.mom,352,140503,180,1,1
https://instagram.com/insight.co.kr_beauty,3632,129869,204,1,1
https://instagram.com/rilaccoco,609,171075,476,1,1
https://instagram.com/seonihwang,316,127591,317,1,1
https://instagram.com/nail_seoriyam,2969,76719,299,1,0
https://instagram.com/keemme_,865,141173,543,1,0
https://instagram.com/jardindemaison,9086,38723,706,1,0
https://instagram.com/ryu_angel,2039,85873,629,1,0
https://instagram.com/d.hwan_92,495,196190,283,1,0
https://instagram.com/summyis,639,79286,231,1,0
https://instagram.com/hael_kk,1615,76526,496,1,0
https://instagram.com/0__0man,1434,389050,271,1,0
https://instagram.com/di_oniz,911,36369,638,1,0
https://instagram.com/chaebubble,728,127452,321,1,0
https://instagram.com/__joovely__,908,125364,366,1,0
https://instagram.com/gamgak_j,4377,87357,368,1,0
https://instagram.com/binlog_,5639,44946,704,1,0
https://instagram.com/dunamandu,4259,72912,586,1,0
https://instagram.com/the_clerk_48,238,41407,54,1,0
https://instagram.com/ev.alet,559,165180,181,1,1
https://instagram.com/sjeuro,1766,130012,168,1,0
https://instagram.com/cheristyle_,981,160703,892,1,0
https://instagram.com/hahana111,3828,48743,860,1,1
https://instagram.com/velyyson_g,1019,276565,186,1,0
https://instagram.com/__bygracekim,1085,413062,362,1,0
https://instagram.com/m1ss_ryu,7236,101302,463,1,0
https://instagram.com/monaka.beauty,635,64870,305,1,0
https://instagram.com/gombooin,10224,52038,302,1,0
https://instagram.com/b_bangg_,842,128803,672,1,0
https://instagram.com/nail_0408,2312,100033,626,1,0
https://instagram.com/b_bsssss,1866,103603,7305,1,0
https://instagram.com/_yunboktv,256,48840,482,1,0
https://instagram.com/y._.bling,228,133914,31,1,0
https://instagram.com/soyeo,1588,43323,466,1,0
https://instagram.com/96.kim,196,69257,329,1,0
https://instagram.com/yuuhyemin,273,189475,84,1,0
https://instagram.com/parkahin,2423,90789,215,1,0
https://instagram.com/marie_yeon,4609,73344,290,1,0
https://instagram.com/edgeo516/,1959,129583,246,1,0
https://instagram.com/hp.i09,279,187598,264,1,0
https://instagram.com/hohobeautylog,1001,139302,349,1,0
https://instagram.com/mong2_mom,912,188273,218,1,1
https://instagram.com/sophia_living,1719,78248,636,0,1
https://instagram.com/cha.star,1511,97387,385,1,0
https://instagram.com/seoltamin,6472,39706,667,1,0
https://instagram.com/jinsolllllllshin,1688,143912,226,1,0
https://instagram.com/afma22,657,180884,130,1,0
https://instagram.com/yoongandchic,4203,77900,293,1,0
https://instagram.com/o_yene,100,206350,158,1,0
https://instagram.com/enricatarolla,1362,43907,2436,1,0
https://instagram.com/usb72,221,76243,79,1,0
https://instagram.com/pinkeh2015,944,94871,126,1,1
https://instagram.com/doa_s2,583,160373,275,1,0
https://instagram.com/koojungyeon,6157,66207,655,1,0
https://instagram.com/velyvely_official,1428,38428,5,1,0
https://instagram.com/yeondukong,1024,169111,5,1,0
https://instagram.com/yeseo_yedam_mom,899,90969,168,1,0
https://instagram.com/alicefunk9093,2286,70353,959,1,1
https://instagram.com/hp_makeup.kr,551,120718,278,1,0
https://instagram.com/hyunjeongkkim,3099,80108,0,1,0
https://instagram.com/hyoxxi,1895,144568,660,1,0
https://instagram.com/yomi_o.o,100,51404,413,1,0
https://instagram.com/naneunminji,294,129301,230,1,0
https://instagram.com/hairstylist_cevahir_hadi,1962,64818,6746,1,0
https://instagram.com/lololo0728,184,189353,149,1,0
https://instagram.com/haenee___,110,39564,66,1,0
https://instagram.com/kim.shony,310,108226,118,1,0
https://instagram.com/nathinog,5306,167980,1552,1,0
https://instagram.com/hi_bambigirl,2125,75457,1,1,1
https://instagram.com/danjinail,4675,51863,3197,1,0
https://instagram.com/kani_o3o,265,179383,700,1,0
https://instagram.com/lemi.do,1194,88993,804,1,0
https://instagram.com/yu__hyewon,30,131697,55,1,1
https://instagram.com/s.ming_g,4730,65294,396,1,0
https://instagram.com/beinny_motd,822,128903,412,1,0
https://instagram.com/wakemake_official,933,100912,84,1,0
https://instagram.com/ssom2ing,195,213088,114,1,0
https://instagram.com/cicis_nail,1350,80498,4218,1,0
https://instagram.com/parktaeyun,1458,48935,1278,1,0
https://instagram.com/kang_naraa,187,73404,279,1,0
https://instagram.com/ansomi21,1535,102239,2423,1,0
https://instagram.com/ehee45,3234,65473,332,1,0
https://instagram.com/haajjin,1885,111074,481,1,0
https://instagram.com/youh.lax,525,109314,471,1,0
https://instagram.com/pure_hwang,589,204278,143,1,0
https://instagram.com/kryxsoo,72,62169,266,1,0
https://instagram.com/boyuni.__,189,68480,274,1,0
https://instagram.com/cq_bq,2453,118626,813,1,0
https://instagram.com/hoyhoyoung,2584,54381,1561,1,0
https://instagram.com/k__nhi,39,122340,444,1,0
https://instagram.com/namoro0327,2865,86634,338,1,0
https://instagram.com/dingo_beauty,125,43634,11,1,0
https://instagram.com/samchic.jihwan,891,134124,3655,1,0
https://instagram.com/min_1111111,487,281668,213,1,0
https://instagram.com/baedina,939,66200,253,1,0
https://instagram.com/rnjs28,91,121020,335,1,1
https://instagram.com/kxxgsu,1030,121328,574,1,0
https://instagram.com/ssoyonging,329,28607,541,1,0
https://instagram.com/su_.xy,118,149045,191,1,0
https://instagram.com/hansomang,1214,128118,205,1,0
https://instagram.com/so_____y_,1704,229311,813,1,0
https://instagram.com/0zoocarr,551,93653,112,1,0
https://instagram.com/number_76,2843,98191,415,1,0
https://instagram.com/merryblossom.sun,1710,53619,548,1,0
https://instagram.com/blannblann,1130,50966,899,1,0
https://instagram.com/haebbang2,1585,29993,2045,1,0
https://instagram.com/bijueny,3569,48707,161,1,0
https://instagram.com/dameebaby,958,105462,146,1,0
https://instagram.com/shim.mj,2568,115153,435,1,0
https://instagram.com/makeviviju,720,112257,69,1,0
https://instagram.com/yeboring03,104,107072,125,1,0
https://instagram.com/hanyulofficial,1055,50253,98,1,1
https://instagram.com/dambi.home,500,47597,136,1,0
https://instagram.com/mjystagram,725,95445,515,1,0
https://instagram.com/_____network,4743,51082,875,1,0
https://instagram.com/eezzh,168,181314,90,1,0
https://instagram.com/shuni_kaeun,2580,146539,338,1,0
https://instagram.com/luckymizili,1637,308700,177,1,0
https://instagram.com/make_up_hy,4353,64522,772,1,0
https://instagram.com/0916_96,44,112301,92,1,0
https://instagram.com/kiehlskorea,1309,67928,38,1,1
https://instagram.com/grace___u,1260,88046,182,1,0
https://instagram.com/stephany.02.28_official_,442,133307,133,1,0
https://instagram.com/su_minvv,58,114536,163,1,0
https://instagram.com/2toyoung,1326,64401,321,1,0
https://instagram.com/doublee_lee,3755,33560,2596,1,0
https://instagram.com/ih_dressroom,3645,243460,463,1,0
https://instagram.com/0323_becky,342,276295,241,1,0
https://instagram.com/drjart_kr,629,164410,15,1,1
https://instagram.com/raonjenanim,1448,92899,7208,1,0
https://instagram.com/kindabaeey/,88,71664,252,1,0
https://instagram.com/emmachoi__,828,62301,623,1,0
https://instagram.com/belle_leah,5428,57377,631,1,0
https://instagram.com/hyo_1013,1234,185164,811,1,0
https://instagram.com/jung_eunhye__,612,115363,472,1,0
https://instagram.com/kingo1398,1884,133402,115,1,0
https://instagram.com/ksukyoung,2091,154487,7131,1,0
https://instagram.com/sat7800,1162,44384,327,1,0
https://instagram.com/by_gelato_factory,989,55731,14,1,0
https://instagram.com/juyeon___2,920,38011,362,1,0
https://instagram.com/babykumsung,379,232329,160,1,0
https://instagram.com/gkruddll,186,93015,540,1,0
https://instagram.com/l3xng,558,88006,378,1,0
https://instagram.com/angy__unni,2092,63260,394,1,1
https://instagram.com/raniword,1633,43702,1152,0,0
https://instagram.com/iwomansense,3732,107085,32,1,1
https://instagram.com/bushcherry1,1392,118133,7102,1,0
https://instagram.com/mj.oo0,2044,80816,459,1,0
https://instagram.com/gwooxin,97,33739,0,1,0
https://instagram.com/glee_makeup,214,54661,447,1,0
https://instagram.com/haeny_gram,402,72525,660,1,0
https://instagram.com/huxley_korea,594,101519,9,1,1
https://instagram.com/kwakjungeun_laavanya/,4778,72463,4,1,0
https://instagram.com/y_ar1492,456,92297,220,1,0
https://instagram.com/yoonjae_1130,67,37220,484,1,0
https://instagram.com/2.bin,456,95828,474,1,0
https://instagram.com/1208_sj,2033,54150,314,1,0
https://instagram.com/___kim_0,1211,41605,1163,1,0
https://instagram.com/hwangjungmin_,246,68379,243,1,0
https://instagram.com/young_in1368,95,71337,58,1,0
https://instagram.com/zum_3_,2026,166450,476,1,1
https://instagram.com/1_ran.thanx,189,142903,179,1,0
https://instagram.com/_inblair,3562,61816,578,1,0
https://instagram.com/dn_wls,211,27717,98,1,0
https://instagram.com/taczo_market,2346,28685,2,1,0
https://instagram.com/peizhangwo,890,125984,228,1,0
https://instagram.com/luv_momo.ys,2442,32645,6359,1,0
https://instagram.com/dj_liid_,307,81784,499,1,0
https://instagram.com/minjichu_,2032,86565,307,1,0
https://instagram.com/wsen_jinhee,6774,33363,555,1,0
https://instagram.com/song_rina,2041,49870,731,1,0
https://instagram.com/realch,3727,48942,445,1,0
https://instagram.com/ha_seobin,3051,115208,853,1,0
https://instagram.com/chowo_n,534,90249,374,1,0
https://instagram.com/_parkha,2318,82519,521,1,0
https://instagram.com/dr.g_official,1139,40286,1,1,0
https://instagram.com/sakinanba,6737,149041,674,1,1
https://instagram.com/feelyujin,2335,172526,273,1,0
https://instagram.com/dd9987_,652,98168,702,1,0
https://instagram.com/joohea8,511,67251,3576,1,0
https://instagram.com/jjjin.young,712,30738,125,1,0
https://instagram.com/lovelehee,1213,225430,213,1,0
https://instagram.com/hol_ddong,757,41095,369,1,0
https://instagram.com/ellelynna,2540,91372,1703,1,0
https://instagram.com/b_d.ijin,1189,112514,298,1,0
https://instagram.com/kkimhayoung,6240,64978,1104,1,0
https://instagram.com/abbielee7,1467,91028,590,1,0
https://instagram.com/kiu_design_,1131,114148,534,1,0
https://instagram.com/by_ladymimi,10517,46063,396,1,0
https://instagram.com/mjkim0108,2232,25741,562,1,0
https://instagram.com/shu__________,640,158690,687,1,0
https://instagram.com/leeseeraa,2228,74659,128,1,0
https://instagram.com/hxnjxwxn,689,88098,273,1,0
https://instagram.com/kangnajj,888,63220,280,1,0
https://instagram.com/1992.12.11,1422,31433,427,1,0
https://instagram.com/nara_crush,97,29332,141,1,0
https://instagram.com/hwangbarbie,1933,201492,133,1,0
https://instagram.com/jooyeonking,1382,65270,515,1,0
https://instagram.com/_eun.me,196,28871,175,1,0
https://instagram.com/i.am.mell,263,59903,30,1,1
https://instagram.com/kkangsara,1557,86366,6635,1,0
https://instagram.com/pila_nyong,623,122292,499,1,0
https://instagram.com/chaae.rin,1017,132123,376,1,0
https://instagram.com/baeg_,933,53682,222,1,0
https://instagram.com/miuforyou,298,154485,1,1,0
https://instagram.com/luv_mintminty,718,266383,91,1,0
https://instagram.com/diana_park0116,1637,60342,189,1,0
https://instagram.com/wsj007,1303,97965,113,1,0
https://instagram.com/choonran,814,44204,551,1,0
https://instagram.com/__ssong2__,441,48002,254,1,0
https://instagram.com/by_malla,2055,27859,5482,1,0
https://instagram.com/shinae.lee,417,23912,334,1,0
https://instagram.com/bbangmi.a,1848,31473,176,1,0
https://instagram.com/eaum0801,2466,117521,6966,1,0
https://instagram.com/m_chae0_,60,96018,59,0,0
https://instagram.com/gnal_nail,1701,64113,191,1,0
https://instagram.com/k_ming97,156,147145,275,1,0
https://instagram.com/cherie_flavor,1596,79286,298,1,0
https://instagram.com/zin_uk,74,60175,177,1,0
https://instagram.com/heurim.03.08,42,51349,1242,1,0
https://instagram.com/milladiary,2556,36877,290,1,0
https://instagram.com/model.yca,604,164593,562,1,0
https://instagram.com/__luv_j,680,19829,251,1,0
https://instagram.com/he.le.n._,626,125382,764,1,0
https://instagram.com/154kg,4704,40403,236,1,0
https://instagram.com/from_dami,996,139724,190,1,0
https://instagram.com/ellie_jye,1880,100759,7190,1,0
https://instagram.com/lejour_official,1499,26395,850,1,0
https://instagram.com/chxxilee,844,207074,145,1,0
